No.,English,German,German example 2,Vietnamese
1,I have ....,Ich habe ...,Zum frühstück habe ich Brötchen mit Käse und Salami oder Leberwurst ,
2,"I would like to have, ..... please",Ich möchte (bitte) .... ,,
3,Do you need something else?,Brauchst du noch etwas? ,,
4,I need time,Zeit brauchen,,
5,I need time ,Eine Stunde brauchen,,
6,Only for a short time,Nür für kurz Zeit ,,
7,May I help you,Darf ich Ihnen helfen?,,
8,May I help you? (informel),Darf ich dir helfen?,,
9,Preparation guide,Zubereitung,,
10,I am done,Ich bin fertig,,
11,Are you done,Bist du fertig?,,
12,Ready to eat food ,Fertiggerichte,,
13,Can I pay with card? ,Kann man (ich) mit Karte zahlen?,,
14,I am doing really well,Mir geht's sehr gut,,
15,We dont have to do anything,Wir müssen nicht machen ,,
16,Do you come tomorrow ,Kommst du morgen mit?,,
17,Don't do that! ,Mach das nicht!,,
18,I wish you have a nice day ,Ich wünsche dir noch einen schönen Tag,,
19,"You can, you may ",Du darfst ,,
20,"You may not allowed, you can't ",Du darft nicht,,
21,During the arrival ,bei der Einfahrt,,
22,Do you have sisters?,Hast du Geschwister? ,,
23,I have many homwork on Monday,Ich habe viele Hausaufgaben am Montag,,
24,I would like to have more water ,Ich möchte mehr Wasser,,
25,He has more books than me,Er hat mehr Bücher als ich,,
26,I reveive a E-mail/Gift,Ich bekomme eine E-mail / ein Geschenk,,
27,I am goning to the cinema,Ich gehe ins Kino,,
28,I am in the Park,Ich bin im Park,,
29,I am in the school,Ich bin in der Schule ,,
30,I am near bahnhof,Ich bin am Bahnhof,,
31,When does the bus go? ,Wann fährt der Bus?,,
32,What does the Transport Ticket cost?,Was kostest die Fahrkarte?,,
33,Put sth in the fridge,kühle stellen,,
34,Paris is so laud,Paris ist auch laut,,
35,I'm doing nothing,Ich mache nichts,,
36,I sit in front of the TV,Ich sitze vor dem Fernsher,,
37,Over there!,Da drüben!,,
38,What are you doing? (2 types),Was machst du? Was tust du?,,
39,What is the different between A and B?,Was ist der Unterschied zwischen A und B?,,
40,Can you speak lauder?,Kannst du bitte lauter sagen?,,
41,Do you know a good restaurant here?,Kennen Sie hier ein gutes Restaurant?,,
42,May I have a glass of water?,Darf ich ein Glas Wasser haben?,,
43,Can you please help me?,Kannst du mir bitte helfen?,,
44,,Können Sie gut schwimmen?,,
45,,Haben Sie einen Lieblingssport?,,
46,,Fahren Sie heute mit dem Bus zur Schule?,,
47,,Ich bin seit 6 Monaten in Deutschland,,
48,,Kannst du bitte die Türe aufmachen?,,
49,"I affair not, unfortunately not",Leider nicht,,
50,Could you please read the boss telephone number?,Kannst du mir die Telefonnummer vom Chef sagen?,,
51,DO you often drink apple juice?,Trinken Sie oft die Apfelsaft?,,
52,How long do you sleep?,Wie lange schlafen Sie?,,
53,When do you go to sleep?,Wann gehen Sie schlafen?,,
54,It is at home,Es ist bei mir zu Hause,,
55,,Kannst du mich mit dem Auto nach Berlin fahren?,Kannst du mit dem Auto nach Berlin fahren?,
56,,Bist du mit dem Fahrrad gekommen?,,
57,,Kannst du mich bitte zum Arzt bringen?,,
58,,Ich habe gestern Deutchkurs gemacht,Ich habe gestern Deutsch gelernt,
